time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-27T12:09:02.860Z,25.0903,62.9181,10,5,mb,,151,6.092,0.75,us,us1000ghyc,2018-08-27T12:26:00.040Z,"58km WSW of Pasni, Pakistan",earthquake,9.5,1.9,0.065,75,reviewed,us,us
2018-08-27T10:27:32.210Z,-17.2311,-179.3663,536.66,4.7,mb,,70,2.515,0.92,us,us1000ghxw,2018-08-27T10:50:14.040Z,"160km SE of Lambasa, Fiji",earthquake,12.4,7.6,0.099,31,reviewed,us,us
2018-08-27T10:19:35.060Z,19.3403339,-155.0630035,4.44,2.64,ml,12,239,0.05672,0.13,hv,hv70565712,2018-08-27T10:25:18.830Z,"19km S of Fern Acres, Hawaii",earthquake,1.16,0.73,0.26,7,automatic,hv,hv
2018-08-27T09:16:04.670Z,-29.7435,-71.5113,48.67,4.9,mb,,86,0.294,1.16,us,us1000ghwz,2018-08-27T22:25:25.988Z,"28km NW of Coquimbo, Chile",earthquake,6.3,3.4,0.038,269,reviewed,us,us
2018-08-27T08:22:15.880Z,44.7918333,-112.0238333,6.31,2.88,ml,48,82,0.263,0.23,mb,mb80307464,2018-08-27T14:16:00.540Z,"48km ENE of Lima, Montana",earthquake,0.33,0.89,0.33,28,reviewed,mb,mb
2018-08-27T08:17:40.920Z,19.4281673,-155.2496643,-1.12,2.47,ml,8,172,0.03971,0.21,hv,hv70565537,2018-08-27T08:23:22.790Z,"1km WSW of Volcano, Hawaii",earthquake,2.45,7.55,0.42,7,automatic,hv,hv
2018-08-27T07:44:55.550Z,37.3405,-97.974,5.97,3.4,mb_lg,,130,0.047,0.14,us,us1000ghvz,2018-08-28T02:35:10.531Z,"7km NE of Harper, Kansas",earthquake,1.3,3.3,0.043,143,reviewed,us,us
2018-08-27T06:42:52.517Z,69.5974,-144.5623,0,2.6,ml,,,,0.73,ak,ak20231536,2018-08-27T06:48:08.252Z,"69km SSW of Kaktovik, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-08-27T06:11:13.820Z,37.5483322,-118.8753357,6.77,2.9,md,32,102,0.05551,0.03,nc,nc73076320,2018-08-27T06:32:03.803Z,"13km SE of Mammoth Lakes, CA",earthquake,0.26,0.62,0.19,12,automatic,nc,nc
2018-08-27T06:05:01.708Z,69.4773,-144.6371,61.6,2.7,ml,,,,0.74,ak,ak20231527,2018-08-27T06:09:34.320Z,"82km SSW of Kaktovik, Alaska",earthquake,,2.6,,,automatic,ak,ak
2018-08-27T05:34:23.274Z,69.6021,-144.7416,0,3,ml,,,,1.05,ak,ak20230275,2018-08-27T05:40:18.256Z,"73km SW of Kaktovik, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-08-27T04:26:29.280Z,66.3136,-156.9458,0.1,3.4,ml,,,,0.84,ak,ak20229008,2018-08-27T04:32:49.595Z,"66km S of Kobuk, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-08-27T04:16:07.610Z,-9.7583,-78.2991,62.13,4.2,mb,,175,2.637,0.88,us,us1000ghu5,2018-08-27T11:15:39.355Z,"37km NNW of Huarmey, Peru",earthquake,11.2,16.5,0.215,6,reviewed,us,us
2018-08-27T03:19:01.050Z,58.729,158.6973,10,5.4,mb,,99,4.169,0.85,us,us1000ghtl,2018-08-27T03:38:20.040Z,"84km WSW of Palana, Russia",earthquake,8.1,1.8,0.022,685,reviewed,us,us
2018-08-27T01:45:19.406Z,69.6355,-144.2451,1.9,3.1,ml,,,,0.79,ak,ak20227738,2018-08-27T02:43:08.040Z,"60km SSW of Kaktovik, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-08-27T01:40:18.690Z,50.9484,-176.1006,29.21,3.3,ml,,238,1.064,0.53,us,us1000gi3d,2018-08-28T00:12:59.040Z,"110km SSE of Adak, Alaska",earthquake,3,9.7,,,reviewed,us,ak
2018-08-26T23:52:00.818Z,69.5612,-145.1713,10.9,3.5,ml,,,,0.57,ak,ak20227700,2018-08-27T17:12:47.890Z,"74km SW of Kaktovik, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2018-08-26T23:46:37.440Z,-10.0649,123.3951,35,4.7,mb,,58,0.912,0.86,us,us1000ghrx,2018-08-27T02:45:52.764Z,"23km WNW of Kupang, Indonesia",earthquake,4.6,2,0.087,40,reviewed,us,us
2018-08-26T23:33:56.460Z,69.6666,-145.5434,0,3.3,ml,,,,0.93,ak,ak20227689,2018-08-26T23:55:28.040Z,"90km SW of Kaktovik, Alaska",earthquake,,1,,,automatic,ak,ak
2018-08-26T23:10:45.790Z,44.1877,149.4733,39.1,4.6,mb,,136,4.951,0.54,us,us1000ghrp,2018-08-26T23:47:14.040Z,"171km SE of Kuril'sk, Russia",earthquake,11,7.7,0.059,86,reviewed,us,us
2018-08-26T22:49:24.336Z,69.6149,-144.568,0,2.6,ml,,,,0.74,ak,ak20226451,2018-08-26T22:54:44.295Z,"68km SSW of Kaktovik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-08-26T21:48:16.691Z,69.6201,-144.2584,0.1,3.3,ml,,,,0.96,ak,ak20226420,2018-08-26T21:57:15.550Z,"62km SSW of Kaktovik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-08-26T21:37:06.860Z,-22.4241,169.9877,35.68,4.6,mb,,118,2.357,0.72,us,us1000ghqg,2018-08-26T21:48:12.040Z,"212km W of Ile Hunter, New Caledonia",earthquake,8.7,14.4,0.129,18,reviewed,us,us
2018-08-26T20:32:39.170Z,44.4698333,-110.5631667,4.29,2.79,md,8,77,0.03734,0.04,uu,uu60294557,2018-08-27T18:35:28.250Z,"21km E of Old Faithful Geyser, Wyoming",earthquake,0.42,0.49,0.242,2,reviewed,uu,uu
